rank,importance,fold_std,hypothesis,intended_class
1,0.09360,0.00546,The text asks where something is located.,LOC
2,0.07300,0.00938,The text can be answered with a numeric value.,NUM
3,0.03740,0.00428,"The text asks for a date, year, or period of time.",NUM
4,0.03100,0.00370,The text asks for the definition of a term.,DESC
5,0.01980,0.00648,The text asks for a description of something's meaning or purpose.,DESC
6,0.01440,0.00483,The text asks for the name of a thing or object.,ENTY
7,0.00580,0.00482,The text asks what an abbreviation or acronym stands for.,ABBR
8,0.00440,0.00808,The text asks for the name of a person.,HUM
9,0.00420,0.00684,The text asks for the identity of an individual.,HUM
10,0.00400,0.00472,"The text asks about a group, team, or organization of people.",HUM
11,0.00200,0.00261,The text asks how many of something there are.,NUM
12,0.00140,0.00358,The text asks who did something or who is responsible.,HUM
13,0.00060,0.01108,The text asks for an explanation of why something happens.,DESC
14,0.00060,0.00214,"The text asks for a distance, size, or measurement.",NUM
15,0.00020,0.00472,"The text asks which animal, plant, or substance is being described.",ENTY
16,-0.00100,0.00699,The text asks how to do something or how something works.,DESC
17,-0.00240,0.00444,"The text asks for the title of a book, film, or creative work.",ENTY
18,-0.00300,0.00588,"The text asks for the name of a place, city, or country.",LOC
19,-0.00360,0.00279,The text asks which region or area something is in.,LOC
20,-0.00380,0.00293,The text asks what something is called.,ENTY
21,-0.00380,0.00199,The text asks for the full form of an initialism.,ABBR
22,-0.00460,0.00156,The question is about what a set of letters means.,ABBR
23,-0.00540,0.00734,The text asks for a number or a count.,NUM
24,-0.00560,0.00350,The text asks about a geographic location.,LOC
25,-0.00560,0.00666,"The text asks for the name of a color, food, or material.",ENTY
